country_code,country_name,event_name,event_category,event_subcategory,event_anchor_date,window_days,indicator_group,indicator_slug,indicator_name,indicator_frequency,before_mean,after_mean,absolute_change,percentage_change,historical_std,standardized_change,abs_standardized_change,nearby_event_count,contamination_level,nearby_event_names,is_contaminated_window
USA,United States,CARES Act,economy,fiscal_social,2020-03-27,30,unemployment,unemployment,Unemployment Rate,monthly,4.4,14.8,10.4,236.36363636363632,1.7030513340652462,6.106686153244024,6.106686153244024,3.0,alta,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,True
USA,United States,Corte emergencial de juros do Fed,economy,monetary_policy,2020-03-03,30,unemployment,unemployment,Unemployment Rate,monthly,4.4,14.8,10.4,236.36363636363632,1.7030513340652462,6.106686153244024,6.106686153244024,3.0,alta,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,True
USA,United States,Fed leva juros a zero e relanca QE,economy,monetary_policy,2020-03-15,30,unemployment,unemployment,Unemployment Rate,monthly,4.4,14.8,10.4,236.36363636363632,1.7030513340652462,6.106686153244024,6.106686153244024,3.0,alta,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,True
USA,United States,Pandemia Covid,external_shock,health_crisis,2020-03-16,30,unemployment,unemployment,Unemployment Rate,monthly,4.4,14.8,10.4,236.36363636363632,1.7030513340652462,6.106686153244024,6.106686153244024,3.0,alta,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,True
USA,United States,Corte emergencial de juros do Fed,economy,monetary_policy,2020-03-03,90,unemployment,unemployment,Unemployment Rate,monthly,3.8333333333333335,13.0,9.166666666666666,239.1304347826087,1.7030513340652462,5.382495808147777,5.382495808147777,3.0,alta,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,True
USA,United States,Fed leva juros a zero e relanca QE,economy,monetary_policy,2020-03-15,90,unemployment,unemployment,Unemployment Rate,monthly,3.8333333333333335,13.0,9.166666666666666,239.1304347826087,1.7030513340652462,5.382495808147777,5.382495808147777,3.0,alta,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,True
USA,United States,Pandemia Covid,external_shock,health_crisis,2020-03-16,90,unemployment,unemployment,Unemployment Rate,monthly,3.8333333333333335,13.0,9.166666666666666,239.1304347826087,1.7030513340652462,5.382495808147777,5.382495808147777,3.0,alta,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,True
USA,United States,CARES Act,economy,fiscal_social,2020-03-27,90,unemployment,unemployment,Unemployment Rate,monthly,3.8333333333333335,13.0,9.166666666666666,239.1304347826087,1.7030513340652462,5.382495808147777,5.382495808147777,3.0,alta,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,True
USA,United States,Corte emergencial de juros do Fed,economy,monetary_policy,2020-03-03,180,unemployment,unemployment,Unemployment Rate,monthly,3.7166666666666655,11.52,7.803333333333333,209.95515695067263,1.7030513340652462,4.58197188613598,4.58197188613598,3.0,alta,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,True
USA,United States,Fed leva juros a zero e relanca QE,economy,monetary_policy,2020-03-15,180,unemployment,unemployment,Unemployment Rate,monthly,3.7166666666666655,10.9,7.183333333333334,193.2735426008969,1.7030513340652462,4.217919442384894,4.217919442384894,3.0,alta,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,True
