date,value,series_code,series_slug,series_name
04/05/2017,0.041957,11,selic,Selic
05/05/2017,0.041957,11,selic,Selic
08/05/2017,0.041957,11,selic,Selic
09/05/2017,0.041957,11,selic,Selic
10/05/2017,0.041957,11,selic,Selic
11/05/2017,0.041957,11,selic,Selic
12/05/2017,0.041957,11,selic,Selic
15/05/2017,0.041957,11,selic,Selic
16/05/2017,0.041957,11,selic,Selic
17/05/2017,0.041957,11,selic,Selic
18/05/2017,0.041957,11,selic,Selic
19/05/2017,0.041957,11,selic,Selic
22/05/2017,0.041957,11,selic,Selic
23/05/2017,0.041957,11,selic,Selic
24/05/2017,0.041957,11,selic,Selic
25/05/2017,0.041957,11,selic,Selic
26/05/2017,0.041957,11,selic,Selic
29/05/2017,0.041957,11,selic,Selic
30/05/2017,0.041957,11,selic,Selic
31/05/2017,0.041957,11,selic,Selic
01/06/2017,0.038370,11,selic,Selic
02/06/2017,0.038370,11,selic,Selic
05/06/2017,0.038370,11,selic,Selic
06/06/2017,0.038370,11,selic,Selic
07/06/2017,0.038370,11,selic,Selic
08/06/2017,0.038370,11,selic,Selic
09/06/2017,0.038370,11,selic,Selic
12/06/2017,0.038370,11,selic,Selic
13/06/2017,0.038370,11,selic,Selic
14/06/2017,0.038370,11,selic,Selic
16/06/2017,0.038370,11,selic,Selic
19/06/2017,0.038370,11,selic,Selic
20/06/2017,0.038370,11,selic,Selic
21/06/2017,0.038370,11,selic,Selic
22/06/2017,0.038370,11,selic,Selic
23/06/2017,0.038370,11,selic,Selic
26/06/2017,0.038370,11,selic,Selic
27/06/2017,0.038370,11,selic,Selic
28/06/2017,0.038370,11,selic,Selic
29/06/2017,0.038370,11,selic,Selic
30/06/2017,0.038370,11,selic,Selic
03/07/2017,0.038370,11,selic,Selic
04/07/2017,0.038370,11,selic,Selic
05/07/2017,0.038370,11,selic,Selic
06/07/2017,0.038370,11,selic,Selic
07/07/2017,0.038370,11,selic,Selic
10/07/2017,0.038370,11,selic,Selic
11/07/2017,0.038370,11,selic,Selic
12/07/2017,0.038370,11,selic,Selic
13/07/2017,0.038370,11,selic,Selic
14/07/2017,0.038370,11,selic,Selic
17/07/2017,0.038370,11,selic,Selic
18/07/2017,0.038370,11,selic,Selic
19/07/2017,0.038370,11,selic,Selic
20/07/2017,0.038370,11,selic,Selic
21/07/2017,0.038370,11,selic,Selic
24/07/2017,0.038370,11,selic,Selic
25/07/2017,0.038370,11,selic,Selic
26/07/2017,0.038370,11,selic,Selic
27/07/2017,0.034749,11,selic,Selic
28/07/2017,0.034749,11,selic,Selic
31/07/2017,0.034749,11,selic,Selic
01/08/2017,0.034749,11,selic,Selic
02/08/2017,0.034749,11,selic,Selic
03/08/2017,0.034749,11,selic,Selic
04/08/2017,0.034749,11,selic,Selic
07/08/2017,0.034749,11,selic,Selic
08/08/2017,0.034749,11,selic,Selic
09/08/2017,0.034749,11,selic,Selic
10/08/2017,0.034749,11,selic,Selic
11/08/2017,0.034749,11,selic,Selic
14/08/2017,0.034749,11,selic,Selic
15/08/2017,0.034749,11,selic,Selic
16/08/2017,0.034749,11,selic,Selic
17/08/2017,0.034749,11,selic,Selic
18/08/2017,0.034749,11,selic,Selic
21/08/2017,0.034749,11,selic,Selic
22/08/2017,0.034749,11,selic,Selic
23/08/2017,0.034749,11,selic,Selic
24/08/2017,0.034749,11,selic,Selic
25/08/2017,0.034749,11,selic,Selic
28/08/2017,0.034749,11,selic,Selic
29/08/2017,0.034749,11,selic,Selic
30/08/2017,0.034749,11,selic,Selic
31/08/2017,0.034749,11,selic,Selic
01/09/2017,0.034749,11,selic,Selic
04/09/2017,0.034749,11,selic,Selic
05/09/2017,0.034749,11,selic,Selic
06/09/2017,0.034749,11,selic,Selic
08/09/2017,0.031096,11,selic,Selic
11/09/2017,0.031096,11,selic,Selic
12/09/2017,0.031096,11,selic,Selic
13/09/2017,0.031096,11,selic,Selic
14/09/2017,0.031096,11,selic,Selic
15/09/2017,0.031096,11,selic,Selic
18/09/2017,0.031096,11,selic,Selic
19/09/2017,0.031096,11,selic,Selic
20/09/2017,0.031096,11,selic,Selic
21/09/2017,0.031096,11,selic,Selic
22/09/2017,0.031096,11,selic,Selic
25/09/2017,0.031096,11,selic,Selic
26/09/2017,0.031096,11,selic,Selic
27/09/2017,0.031096,11,selic,Selic
28/09/2017,0.031096,11,selic,Selic
29/09/2017,0.031096,11,selic,Selic
02/10/2017,0.031096,11,selic,Selic
03/10/2017,0.031096,11,selic,Selic
04/10/2017,0.031096,11,selic,Selic
05/10/2017,0.031096,11,selic,Selic
06/10/2017,0.031096,11,selic,Selic
09/10/2017,0.031096,11,selic,Selic
10/10/2017,0.031096,11,selic,Selic
11/10/2017,0.031096,11,selic,Selic
13/10/2017,0.031096,11,selic,Selic
16/10/2017,0.031096,11,selic,Selic
17/10/2017,0.031096,11,selic,Selic
18/10/2017,0.031096,11,selic,Selic
19/10/2017,0.031096,11,selic,Selic
20/10/2017,0.031096,11,selic,Selic
23/10/2017,0.031096,11,selic,Selic
24/10/2017,0.031096,11,selic,Selic
25/10/2017,0.031096,11,selic,Selic
26/10/2017,0.028333,11,selic,Selic
27/10/2017,0.028333,11,selic,Selic
30/10/2017,0.028333,11,selic,Selic
31/10/2017,0.028333,11,selic,Selic
01/11/2017,0.028333,11,selic,Selic
03/11/2017,0.028333,11,selic,Selic
06/11/2017,0.028333,11,selic,Selic
07/11/2017,0.028333,11,selic,Selic
08/11/2017,0.028333,11,selic,Selic
09/11/2017,0.028333,11,selic,Selic
10/11/2017,0.028333,11,selic,Selic
13/11/2017,0.028333,11,selic,Selic
14/11/2017,0.028333,11,selic,Selic
16/11/2017,0.028333,11,selic,Selic
17/11/2017,0.028333,11,selic,Selic
20/11/2017,0.028333,11,selic,Selic
21/11/2017,0.028333,11,selic,Selic
22/11/2017,0.028333,11,selic,Selic
23/11/2017,0.028333,11,selic,Selic
24/11/2017,0.028333,11,selic,Selic
27/11/2017,0.028333,11,selic,Selic
28/11/2017,0.028333,11,selic,Selic
29/11/2017,0.028333,11,selic,Selic
30/11/2017,0.028333,11,selic,Selic
01/12/2017,0.028333,11,selic,Selic
04/12/2017,0.028333,11,selic,Selic
05/12/2017,0.028333,11,selic,Selic
06/12/2017,0.028333,11,selic,Selic
07/12/2017,0.026481,11,selic,Selic
08/12/2017,0.026481,11,selic,Selic
11/12/2017,0.026481,11,selic,Selic
12/12/2017,0.026481,11,selic,Selic
13/12/2017,0.026481,11,selic,Selic
14/12/2017,0.026481,11,selic,Selic
15/12/2017,0.026481,11,selic,Selic
18/12/2017,0.026481,11,selic,Selic
19/12/2017,0.026481,11,selic,Selic
20/12/2017,0.026481,11,selic,Selic
21/12/2017,0.026481,11,selic,Selic
22/12/2017,0.026481,11,selic,Selic
26/12/2017,0.026481,11,selic,Selic
27/12/2017,0.026481,11,selic,Selic
28/12/2017,0.026481,11,selic,Selic
29/12/2017,0.026481,11,selic,Selic
02/01/2018,0.026481,11,selic,Selic
03/01/2018,0.026481,11,selic,Selic
04/01/2018,0.026481,11,selic,Selic
05/01/2018,0.026481,11,selic,Selic
08/01/2018,0.026481,11,selic,Selic
09/01/2018,0.026481,11,selic,Selic
10/01/2018,0.026481,11,selic,Selic
11/01/2018,0.026481,11,selic,Selic
12/01/2018,0.026481,11,selic,Selic
15/01/2018,0.026481,11,selic,Selic
16/01/2018,0.026481,11,selic,Selic
17/01/2018,0.026481,11,selic,Selic
18/01/2018,0.026481,11,selic,Selic
19/01/2018,0.026481,11,selic,Selic
22/01/2018,0.026481,11,selic,Selic
23/01/2018,0.026481,11,selic,Selic
24/01/2018,0.026481,11,selic,Selic
25/01/2018,0.026481,11,selic,Selic
26/01/2018,0.026481,11,selic,Selic
29/01/2018,0.026481,11,selic,Selic
30/01/2018,0.026481,11,selic,Selic
31/01/2018,0.026481,11,selic,Selic
01/02/2018,0.026481,11,selic,Selic
02/02/2018,0.026481,11,selic,Selic
05/02/2018,0.026481,11,selic,Selic
06/02/2018,0.026481,11,selic,Selic
07/02/2018,0.026481,11,selic,Selic
08/02/2018,0.025552,11,selic,Selic
09/02/2018,0.025552,11,selic,Selic
14/02/2018,0.025552,11,selic,Selic
15/02/2018,0.025552,11,selic,Selic
16/02/2018,0.025552,11,selic,Selic
19/02/2018,0.025552,11,selic,Selic
