event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
ARG_2023_12,ARG,Argentina,Desvalorizacao inicial do peso,2023-12-16,month,30,3,alta,ARG_2023_12_12; ARG_2023_12_20; ARG_2023_11_19,Pacote Caputo e forte desvalorizacao; DNU de desregulacao de Milei; Eleicao Milei,-4; 4; -27,True
ARG_2023_12,ARG,Argentina,Desvalorizacao inicial do peso,2023-12-16,month,90,4,alta,ARG_2023_12_12; ARG_2023_12_20; ARG_2023_11_19; ARG_2024_01_24,Pacote Caputo e forte desvalorizacao; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas,-4; 4; -27; 39,True
ARG_2023_12,ARG,Argentina,Desvalorizacao inicial do peso,2023-12-16,month,180,8,alta,ARG_2023_12_12; ARG_2023_12_20; ARG_2023_11_19; ARG_2024_01_24; ARG_2023_08; ARG_2023_08_14; ARG_2024_04_30; ARG_2024_06_12,Pacote Caputo e forte desvalorizacao; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara; Aprovacao da Lei Bases no Senado,-4; 4; -27; 39; -122; -124; 136; 179,True
ARG_2023_12_20,ARG,Argentina,DNU de desregulacao de Milei,2023-12-20,day,30,2,moderada,ARG_2023_12; ARG_2023_12_12,Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao,-4; -8,True
ARG_2023_12_20,ARG,Argentina,DNU de desregulacao de Milei,2023-12-20,day,90,4,alta,ARG_2023_12; ARG_2023_12_12; ARG_2023_11_19; ARG_2024_01_24,Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei; Greve geral contra reformas,-4; -8; -31; 35,True
ARG_2023_12_20,ARG,Argentina,DNU de desregulacao de Milei,2023-12-20,day,180,8,alta,ARG_2023_12; ARG_2023_12_12; ARG_2023_11_19; ARG_2024_01_24; ARG_2023_08; ARG_2023_08_14; ARG_2024_04_30; ARG_2024_06_12,Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara; Aprovacao da Lei Bases no Senado,-4; -8; -31; 35; -126; -128; 132; 175,True
ARG_2024_01_24,ARG,Argentina,Greve geral contra reformas,2024-01-24,day,30,0,baixa,,,,False
ARG_2024_01_24,ARG,Argentina,Greve geral contra reformas,2024-01-24,day,90,4,alta,ARG_2023_12_20; ARG_2023_12; ARG_2023_12_12; ARG_2023_11_19,DNU de desregulacao de Milei; Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei,-35; -39; -43; -66,True
ARG_2024_01_24,ARG,Argentina,Greve geral contra reformas,2024-01-24,day,180,8,alta,ARG_2023_12_20; ARG_2023_12; ARG_2023_12_12; ARG_2023_11_19; ARG_2024_04_30; ARG_2024_06_12; ARG_2023_08; ARG_2023_08_14,DNU de desregulacao de Milei; Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei; Aprovacao inicial da Lei Bases na Camara; Aprovacao da Lei Bases no Senado; Primarias com Milei forte; Desvalorizacao pos-PASO,-35; -39; -43; -66; 97; 140; -161; -163,True
ARG_2024_04_30,ARG,Argentina,Aprovacao inicial da Lei Bases na Camara,2024-04-30,day,30,0,baixa,,,,False
