country_code,country_name,event_name,event_category,event_subcategory,event_year,indicator_group,indicator_slug,indicator_name,previous_year_value,event_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year,abs_z_change_from_previous_year
BRA,Brazil,Aprovacao da PEC dos Precatorios,economy,fiscal_social,2021,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),7074.19407495707,7972.53696080695,9281.33282136864,898.3428858498801,1308.7958605616896,-2.0040248309077526,-1.1327118049442912,0.1367042494341069,0.8713130259634614,1.269416054378398,0.8713130259634614
BRA,Brazil,Reforma da Previdencia,economy,fiscal,2019,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",86.6078841212333,92.5652531951269,98.7098819471851,5.957369073893602,6.144628752058196,0.2485346164419189,1.1083053679418782,1.995101538250746,0.8597707514999593,0.8867961703088678,0.8597707514999593
BRA,Brazil,Aprovacao da PEC da Transicao,economy,fiscal,2022,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",85.011503676948,79.1023218880378,83.0317498523499,-5.909181788910189,3.929427964312097,0.0181441206981385,-0.8346722155710292,-0.2675750302301996,-0.8528163362691678,0.5670971853408296,0.8528163362691678
ARG,Argentina,Renuncia de Martin Guzman,economy,economic_policy,2022,gdp,gdp_growth_annual_pct,GDP growth (annual %),10.4418119882506,6.02074537534855,-1.85578803046339,-4.421066612902051,-7.876533405811941,1.9110780345357363,1.106351755090421,-0.3273415089034296,-0.8047262794453154,-1.4336932639938509,0.8047262794453154
BRA,Brazil,Eleicao Bolsonaro,politics,election,2018,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),10080.5078722821,9300.66072904004,9029.83304401079,-779.8471432420592,-270.82768502925137,0.9118332595861088,0.1554506078502237,-0.1072282572851869,-0.7563826517358851,-0.2626788651354106,0.7563826517358851
USA,United States,American Rescue Plan,economy,fiscal_social,2021,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),63515.9491807833,70205.050916026,76657.2488844403,6689.101735242701,6452.197968414301,-0.5929024679133297,0.1382215273263295,0.8434517575514222,0.7311239952396592,0.7052302302250927,0.7311239952396592
USA,United States,Inflation Reduction Act,economy,fiscal_energy,2022,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),70205.050916026,76657.2488844403,81032.262117545,6452.197968414301,4375.013233104706,0.1382215273263295,0.8434517575514222,1.3216440890211474,0.7052302302250927,0.4781923314697252,0.7052302302250927
ARG,Argentina,Pandemia Covid,external_shock,health_crisis,2020,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),9955.97478680428,8535.59938004389,10738.0179223384,-1420.3754067603895,2202.41854229451,-1.141044495052926,-1.842148686884264,-0.755024209214233,-0.7011041918313381,1.087124477670031,0.7011041918313381
ARG,Argentina,Protestos e greve geral,society,social_reaction,2024,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",6.139,7.15,7.145,1.011,-0.0050000000000007,-1.4200305727314817,-0.7536497200432496,-0.7569453721336964,0.6663808526882321,-0.0032956520904467,0.6663808526882321
BRA,Brazil,Pandemia Covid,external_shock,health_crisis,2020,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",11.936,13.697,13.158,1.7609999999999992,-0.5389999999999997,0.520814323487864,1.1797366768624804,0.9780562972662746,0.6589223533746164,-0.2016803795962057,0.6589223533746164
BRA,Brazil,Anuncio de Fernando Haddad na Fazenda,economy,economic_policy,2022,gdp,gdp_growth_annual_pct,GDP growth (annual %),4.7626043797061,3.01669435408112,3.24165532813583,-1.7459100256249798,0.2249609740547096,1.2642931765429608,0.61610294590743,0.6996224305981247,-0.6481902306355308,0.0835194846906947,0.6481902306355308
ARG,Argentina,Acordo com FMI,economy,debt_exchange_rate,2018,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",8.347,9.22,9.843,0.8730000000000011,0.6229999999999993,0.0353293904095822,0.6107502454014984,1.0213884958711008,0.5754208549919162,0.4106382504696024,0.5754208549919162
USA,United States,American Rescue Plan,economy,fiscal_social,2021,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",126.370405951231,120.367733355153,114.694842004206,-6.002672596078,-5.672891350947012,1.5356661167322725,0.9604664027849004,0.4168676257249556,-0.5751997139473721,-0.5435987770599447,0.5751997139473721
USA,United States,Fed inicia ciclo de corte de juros,economy,monetary_policy,2024,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",4.11633838374488,2.94952520485207,,-1.1668131788928102,,0.4573918758643491,-0.1143889880666639,,-0.571780863931013,,0.571780863931013
BRA,Brazil,Mudanca na politica de precos da Petrobras,economy,energy,2023,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",79.1023218880378,83.0317498523499,81.8554431189056,3.929427964312097,-1.1763067334443065,-0.8346722155710292,-0.2675750302301996,-0.4373402590859762,0.5670971853408296,-0.1697652288557766,0.5670971853408296
USA,United States,Ciclo de alta de juros do Fed,economy,monetary_policy,2022,debt,central_government_debt_pct_gdp,"Central government debt, total (% of GDP)",120.367733355153,114.694842004206,116.918808847311,-5.672891350947012,2.2239668431050035,0.9604664027849004,0.4168676257249556,0.6299768818949911,-0.5435987770599447,0.2131092561700355,0.5435987770599447
BRA,Brazil,Mudanca na politica de precos da Petrobras,economy,energy,2023,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",9.231,7.947,6.801,-1.2839999999999998,-1.146,-0.4913293255060813,-0.9717701555645752,-1.4005748216448195,-0.4804408300584939,-0.4288046660802442,0.4804408300584939
USA,United States,Debt ceiling deal 2023,economy,fiscal,2023,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),76657.2488844403,81032.262117545,84534.0407841548,4375.013233104706,3501.7786666097963,0.8434517575514222,1.3216440890211474,1.7043912067227245,0.4781923314697252,0.3827471177015771,0.4781923314697252
