country_code,country_name,date,series_slug,series_code,series_name,value,source
ARG,Argentina,2016-05-31,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-06-01,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-02,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-03,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-04,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-05,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-06,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-07,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-08,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-09,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-10,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-11,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-12,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-13,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-14,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-15,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-16,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-17,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-18,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-19,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-20,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-21,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,Bluelytics
ARG,Argentina,2016-06-22,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
