event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_year,event_date_precision,indicator_group,indicator_slug,indicator_name,indicator_unit,indicator_source,previous_year,event_year_value,next_year,previous_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year
ARG_2020_08_04,ARG,Argentina,Acordo de reestruturacao da divida,economy,debt,2020-08-04,2020-08-04,2020,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2019,42.0150947376509,2021,53.5483043492339,48.4093786255199,-11.533209611583004,6.394283887869001,-0.5230041963310159,-0.7072125960040287,-0.6050831071879829,-0.18420839967301283,0.10212948881604589
ARG_2020_08_04,ARG,Argentina,Acordo de reestruturacao da divida,economy,debt,2020-08-04,2020-08-04,2020,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2019,11.461,2021,9.843,8.736,1.6180000000000003,-2.7249999999999996,1.0213884958711008,2.087861512339508,0.2917311230463013,1.066473016468407,-1.7961303892932066
ARG_2020_2022,ARG,Argentina,Controles cambiais e crise inflacionaria,economy,exchange_rate_inflation,2020-01-01,2022-12-31,2020,year_range,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2019,-9.9004848136464,2021,-2.00086100285785,10.4418119882506,-7.899623810788551,20.342296801897,-0.3537478138847595,-1.7916440128973874,1.9110780345357363,-1.437896199012628,3.7027220474331237
ARG_2020_2022,ARG,Argentina,Controles cambiais e crise inflacionaria,economy,exchange_rate_inflation,2020-01-01,2022-12-31,2020,year_range,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2019,8535.59938004389,2021,9955.97478680428,10738.0179223384,-1420.3754067603895,2202.41854229451,-1.141044495052926,-1.842148686884264,-0.755024209214233,-0.7011041918313381,1.087124477670031
ARG_2020_2022,ARG,Argentina,Controles cambiais e crise inflacionaria,economy,exchange_rate_inflation,2020-01-01,2022-12-31,2020,year_range,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2019,42.0150947376509,2021,53.5483043492339,48.4093786255199,-11.533209611583004,6.394283887869001,-0.5230041963310159,-0.7072125960040287,-0.6050831071879829,-0.18420839967301283,0.10212948881604589
ARG_2020_2022,ARG,Argentina,Controles cambiais e crise inflacionaria,economy,exchange_rate_inflation,2020-01-01,2022-12-31,2020,year_range,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2019,11.461,2021,9.843,8.736,1.6180000000000003,-2.7249999999999996,1.0213884958711008,2.087861512339508,0.2917311230463013,1.066473016468407,-1.7961303892932066
ARG_2022_03,ARG,Argentina,Renegociacao com FMI,economy,debt,2022-03-01,2022-03-31,2022,month,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2021,6.02074537534855,2023,10.4418119882506,-1.85578803046339,-4.421066612902051,-7.876533405811941,1.9110780345357363,1.106351755090421,-0.3273415089034296,-0.8047262794453154,-1.4336932639938507
ARG_2022_03,ARG,Argentina,Renegociacao com FMI,economy,debt,2022-03-01,2022-03-31,2022,month,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2021,13962.1894087223,2023,10738.0179223384,14261.8465667948,3224.1714863839006,299.65715807249944,-0.755024209214233,0.8364424787669121,0.9843547057999564,1.591466687981145,0.1479122270330443
ARG_2022_03,ARG,Argentina,Renegociacao com FMI,economy,debt,2022-03-01,2022-03-31,2022,month,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2021,72.430757531824,2023,48.4093786255199,133.488935594175,24.0213789063041,61.05817806235099,-0.6050831071879829,-0.2214136937902325,0.7538073978753127,0.38366941339775035,0.9752210916655453
ARG_2022_03,ARG,Argentina,Renegociacao com FMI,economy,debt,2022-03-01,2022-03-31,2022,month,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2021,6.805,2023,8.736,6.139,-1.931000000000001,-0.6659999999999995,0.2917311230463013,-0.9810497142840412,-1.4200305727314817,-1.2727808373303424,-0.4389808584474405
ARG_2022_07_02,ARG,Argentina,Renuncia de Martin Guzman,economy,economic_policy,2022-07-02,2022-07-02,2022,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2021,6.02074537534855,2023,10.4418119882506,-1.85578803046339,-4.421066612902051,-7.876533405811941,1.9110780345357363,1.106351755090421,-0.3273415089034296,-0.8047262794453154,-1.4336932639938507
ARG_2022_07_02,ARG,Argentina,Renuncia de Martin Guzman,economy,economic_policy,2022-07-02,2022-07-02,2022,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2021,13962.1894087223,2023,10738.0179223384,14261.8465667948,3224.1714863839006,299.65715807249944,-0.755024209214233,0.8364424787669121,0.9843547057999564,1.591466687981145,0.1479122270330443
ARG_2022_07_02,ARG,Argentina,Renuncia de Martin Guzman,economy,economic_policy,2022-07-02,2022-07-02,2022,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2021,72.430757531824,2023,48.4093786255199,133.488935594175,24.0213789063041,61.05817806235099,-0.6050831071879829,-0.2214136937902325,0.7538073978753127,0.38366941339775035,0.9752210916655453
ARG_2022_07_02,ARG,Argentina,Renuncia de Martin Guzman,economy,economic_policy,2022-07-02,2022-07-02,2022,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2021,6.805,2023,8.736,6.139,-1.931000000000001,-0.6659999999999995,0.2917311230463013,-0.9810497142840412,-1.4200305727314817,-1.2727808373303424,-0.4389808584474405
ARG_2022_08_03,ARG,Argentina,Posse de Sergio Massa na Economia,economy,economic_policy,2022-08-03,2022-08-03,2022,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2021,6.02074537534855,2023,10.4418119882506,-1.85578803046339,-4.421066612902051,-7.876533405811941,1.9110780345357363,1.106351755090421,-0.3273415089034296,-0.8047262794453154,-1.4336932639938507
ARG_2022_08_03,ARG,Argentina,Posse de Sergio Massa na Economia,economy,economic_policy,2022-08-03,2022-08-03,2022,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2021,13962.1894087223,2023,10738.0179223384,14261.8465667948,3224.1714863839006,299.65715807249944,-0.755024209214233,0.8364424787669121,0.9843547057999564,1.591466687981145,0.1479122270330443
ARG_2022_08_03,ARG,Argentina,Posse de Sergio Massa na Economia,economy,economic_policy,2022-08-03,2022-08-03,2022,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2021,72.430757531824,2023,48.4093786255199,133.488935594175,24.0213789063041,61.05817806235099,-0.6050831071879829,-0.2214136937902325,0.7538073978753127,0.38366941339775035,0.9752210916655453
ARG_2022_08_03,ARG,Argentina,Posse de Sergio Massa na Economia,economy,economic_policy,2022-08-03,2022-08-03,2022,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2021,6.805,2023,8.736,6.139,-1.931000000000001,-0.6659999999999995,0.2917311230463013,-0.9810497142840412,-1.4200305727314817,-1.2727808373303424,-0.4389808584474405
