country_code,country_name,year,indicator_slug,indicator_code,indicator_name,value,source
ARG,Argentina,2020,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),8535.59938004389,World Bank API
ARG,Argentina,2019,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),9955.97478680428,World Bank API
ARG,Argentina,2018,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),11752.7998922979,World Bank API
ARG,Argentina,2017,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),14532.5009308511,World Bank API
ARG,Argentina,2016,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),12699.9623137756,World Bank API
BRA,Brazil,2025,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),,World Bank API
BRA,Brazil,2024,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),10310.5488778166,World Bank API
BRA,Brazil,2023,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),10377.5897719195,World Bank API
BRA,Brazil,2022,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),9281.33282136864,World Bank API
BRA,Brazil,2021,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),7972.53696080695,World Bank API
BRA,Brazil,2020,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),7074.19407495707,World Bank API
BRA,Brazil,2019,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),9029.83304401079,World Bank API
BRA,Brazil,2018,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),9300.66072904004,World Bank API
BRA,Brazil,2017,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),10080.5078722821,World Bank API
BRA,Brazil,2016,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),8836.28546025694,World Bank API
USA,United States,2025,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),,World Bank API
USA,United States,2024,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),84534.0407841548,World Bank API
USA,United States,2023,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),81032.262117545,World Bank API
USA,United States,2022,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),76657.2488844403,World Bank API
USA,United States,2021,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),70205.050916026,World Bank API
USA,United States,2020,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),63515.9491807833,World Bank API
USA,United States,2019,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),64746.4506778863,World Bank API
USA,United States,2018,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),62499.8744390068,World Bank API
USA,United States,2017,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),59635.0984397965,World Bank API
USA,United States,2016,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),57638.1018367192,World Bank API
ARG,Argentina,2025,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2024,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2023,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2022,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2021,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2020,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2019,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2018,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2017,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
ARG,Argentina,2016,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
BRA,Brazil,2025,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
BRA,Brazil,2024,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",81.8554431189056,World Bank API
BRA,Brazil,2023,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",83.0317498523499,World Bank API
BRA,Brazil,2022,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",79.1023218880378,World Bank API
BRA,Brazil,2021,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",85.011503676948,World Bank API
BRA,Brazil,2020,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",98.7098819471851,World Bank API
BRA,Brazil,2019,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",92.5652531951269,World Bank API
BRA,Brazil,2018,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",86.6078841212333,World Bank API
BRA,Brazil,2017,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",83.6692026491606,World Bank API
BRA,Brazil,2016,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",73.4188038019563,World Bank API
USA,United States,2025,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",,World Bank API
USA,United States,2024,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",117.973234857902,World Bank API
USA,United States,2023,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",116.918808847311,World Bank API
USA,United States,2022,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",114.694842004206,World Bank API
USA,United States,2021,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",120.367733355153,World Bank API
USA,United States,2020,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",126.370405951231,World Bank API
USA,United States,2019,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",100.979786328903,World Bank API
USA,United States,2018,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",99.2223695206525,World Bank API
USA,United States,2017,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",97.8800564031882,World Bank API
USA,United States,2016,central_government_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",98.6931939368279,World Bank API
